y,Ux (sim),Ux (an),,,,
0.261,4.7402,49016.4386861859,,,,
0.262,4.7402,49137.6589395744,,,,
0.263,4.7402,49258.3709319423,,,,
0.264,4.7402,49378.5746632898,,,,
0.265,4.7402,49498.2701336167,,,,
0.266,4.7402,49617.4573429232,,,,
0.267,4.7402,49736.1362912092,,,,
0.268,4.7402,49854.3069784747,,,,
0.269,4.7402,49971.9694047196,,,,
0.27,4.7402,50089.1235699441,,,,
0.271,4.7402,50205.7694741481,,,,
0.272,4.7402,50321.9071173316,,,,
0.273,4.7402,50437.5364994945,,,,
0.274,4.7402,50552.657620637,,,,
0.275,4.7402,50667.270480759,,,,
0.276,4.7402,50781.3750798605,,,,
0.277,4.7402,50894.9714179415,,,,
0.278,4.7402,51008.059495002,,,,
0.279,4.7402,51120.639311042,,,,
0.28,4.7402,51232.7108660615,,,,
0.281,4.7402,51344.2741600606,,,,
0.282,4.7402,51455.3291930391,,,,
0.283,4.7402,51565.8759649971,,,,
0.284,4.7402,51675.9144759346,,,,
0.285,4.7402,51785.4447258516,,,,
0.286,4.7402,51894.4667147482,,,,
0.287,4.7402,52002.9804426242,,,,
0.288,4.7402,52110.9859094797,,,,
0.289,4.7402,52218.4831153148,,,,
0.29,4.7402,52325.4720601293,,,,
0.291,4.7402,52431.9527439234,,,,
0.292,4.7402,52537.9251666969,,,,
0.293,4.7402,52643.38932845,,,,
0.294,4.7402,52748.3452291825,,,,
0.295,4.7402,52852.7928688946,,,,
0.296,4.7402,52956.7322475862,,,,
0.297,4.7402,53060.1633652572,,,,
0.298,4.7402,53163.0862219078,,,,
0.299,4.7402,53265.5008175379,,,,
0.3,4.7402,53367.4071521474,,,,
0.301,4.7402,53468.8052257365,,,,
0.302,4.7402,53569.6950383051,,,,
0.303,4.7402,53670.0765898532,,,,
0.304,4.7402,53769.9498803808,,,,
0.305,4.7402,53869.3149098879,,,,
0.306,4.7402,53968.1716783745,,,,
0.307,4.7402,54066.5201858406,,,,
0.308,4.7402,54164.3604322862,,,,
0.309,4.7402,54261.6924177113,,,,
0.31,4.7402,54358.5161421159,,,,
0.311,4.7402,54454.8316055,,,,
0.312,4.7402,54550.6388078636,,,,
0.313,4.7402,54645.9377492067,,,,
0.314,4.7402,54740.7284295294,,,,
0.315,4.7402,54835.0108488315,,,,
0.316,4.7402,54928.7850071131,,,,
0.317,4.7402,55022.0509043743,,,,
0.318,4.7402,55114.8085406149,,,,
0.319,4.7402,55207.057915835,,,,
0.32,4.7402,55298.7990300347,,,,
